,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,emotion
79,Unsteady,VHS,X Ambassadors,7lGKEWMXVWWTt3X71Bv44I,2015-06-30,77,193546,0.389,0.178,0.665,0.000732,0.116,0.199,-6.169,0.0644,117.055,0,4,sad
80,You Said You'd Grow Old With Me,Wide Awake,Michael Schulte,41WTP0gosjYD74B06uS2tL,2012-09-28,70,224743,0.531,0.905,0.347,0.0,0.0935,0.289,-7.044,0.0345,114.441,0,4,sad
81,Let It Go,Chaos And The Calm,James Bay,13HVjjWUZFaWilh2QUJKsP,2014-12-15,73,260533,0.546,0.818,0.311,1.65e-05,0.107,0.246,-10.396,0.0288,147.464,1,4,sad
82,The House That Built Me,Revolution,Miranda Lambert,02eD9ymfJOJOhM97HYp5R9,2009-09-24,67,236626,0.515,0.575,0.3,8.46e-06,0.115,0.206,-8.005,0.0289,81.12,5,4,sad
83,SAD!,SAD!,XXXTENTACION,35ieKju5aLWFN5UgfJ27mL,2018-03-02,3,166568,0.74,0.258,0.613,0.00372,0.123,0.473,-4.88,0.145,75.023,8,4,sad
84,changes,changes,XXXTENTACION,4PANCoXZX3RaT2D6mqSdEU,2018-03-02,0,121969,0.694,0.883,0.319,0.0,0.095,0.493,-10.061,0.0303,129.797,11,4,sad
85,Runaway,All My Demons Greeting Me As A Friend (Deluxe Version),AURORA,2GMVFDUyBScHFjYlajlF0A,2016-03-11,0,248826,0.422,0.629,0.302,7.83e-05,0.104,0.123,-9.214,0.0372,114.089,11,4,sad
86,Soft Skin,Passion & Confusion,Timmies,3rfupJaqyid3F5Fq3WMZp7,2017-09-21,64,117747,0.9,0.844,0.107,0.00454,0.108,0.715,-19.516,0.13,106.074,0,4,sad
87,Medicine,Wild Youth EP,Daughter,7H8fBamGUheu0DSpp3pj03,2012-01-01,0,258973,0.243,0.115,0.313,0.237,0.593,0.22,-12.069,0.0285,92.975,3,3,sad
88,Safe Inside,Back from the Edge,James Arthur,5ooilrQAnOJbUjq7IDm8lY,2016-10-28,64,222173,0.317,0.187,0.547,0.0,0.121,0.11,-6.549,0.0366,117.332,8,4,sad
89,idfc,deadroses,blackbear,6y6jbcPG4Yn3Du4moXaenr,2015-02-14,80,245172,0.63,0.611,0.5,4.04e-05,0.114,0.315,-8.755,0.0611,144.871,1,4,sad
90,the remedy for a broken heart (why am I so in love),?,XXXTENTACION,4UKCKdYiLN6IMA5ZESUTL7,2018-03-16,84,160184,0.699,0.779,0.304,0.000993,0.137,0.271,-11.192,0.0993,119.705,1,4,sad
91,before I close my eyes,?,XXXTENTACION,16x9bQHw8TBNaGDyULvwad,2018-03-16,70,99658,0.356,0.976,0.143,1.89e-05,0.111,0.334,-15.148,0.0388,75.522,9,4,sad
92,Coaster,American Teen,Khalid,39KG4kom3enSx4GTThuDGt,2017-04-27,77,199120,0.441,0.935,0.219,0.0,0.115,0.244,-14.586,0.0419,94.021,8,4,sad
93,Sorry,hopeless fountain kingdom (Deluxe),Halsey,44n97yHySt0Z9rqPaXgjCK,2017-06-02,77,220540,0.513,0.913,0.25,0.0,0.117,0.351,-9.376,0.0367,74.103,5,4,sad
94,Doing It Wrong,Take Care (Deluxe),Drake,4eSGSqP2TZvvX0kadZZttM,2011-11-15,69,265120,0.397,0.841,0.172,6.78e-05,0.108,0.123,-15.698,0.0445,101.275,6,4,sad
95,Medicine,Medicine,Queen Naija,4lFfMRH0YH4pW5gczTDbNC,2018-06-08,70,219135,0.741,0.24,0.37,0.0,0.118,0.13,-8.437,0.324,116.06,8,4,sad
96,All The Stars,All The Stars,Sofia Karlberg,6By7bdjfyDOXiIjKXLoZ35,2018-02-09,44,248585,0.468,0.932,0.289,0.0,0.108,0.336,-10.788,0.0395,81.952,1,4,sad
97,FIGURES,Kiddo,Jessie Reyez,3U3J5v3rkx89WnFEQvAJD5,2017-04-21,68,240906,0.6,0.811,0.139,9.5e-06,0.0918,0.256,-8.975,0.0464,171.041,7,3,sad
98,lovely (with Khalid),lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,2018-04-19,89,200185,0.351,0.934,0.296,0.0,0.095,0.12,-10.109,0.0333,115.284,4,4,sad
99,hostage,dont smile at me,Billie Eilish,1WsEgieHsWWndAzLkmV105,2017-12-22,75,229425,0.427,0.868,0.123,3.12e-05,0.0732,0.0394,-15.228,0.0497,129.565,9,5,sad
0,feelings are fatal,feelings are fatal,mxmtoon,2IWuVe3Ex4vHSpyFEK004P,2017-10-06,0,124853,0.545,0.908,0.169,0.0,0.0942,0.482,-16.249,0.132,98.225,0,4,neutral
1,Monster,Human,dodie,2MKIadkPrRqaivpyn6cnI0,2019-01-18,63,245847,0.831,0.694,0.606,0.000109,0.0635,0.944,-7.694,0.107,100.013,9,4,neutral
2,prom dress,prom dress,mxmtoon,0X3a2iLqyGMYi4g2WtUaXu,2019-05-07,0,197933,0.56,0.698,0.674,0.0,0.123,0.421,-6.048,0.0446,119.942,10,4,neutral
3,Self Control,Animal Kingdom: Shells,Cavetown,0YYX7Acm7nFJLtWFcOWucS,2019-02-28,0,232725,0.666,0.494,0.251,0.0,0.227,0.521,-13.252,0.0465,83.99,8,4,neutral
4,my way,my way,mxmtoon,0e20e1Y6yUlgLt4IZbOtGt,2019-01-24,0,208618,0.549,0.928,0.122,0.0,0.102,0.431,-14.196,0.0565,115.372,0,5,neutral
5,We've Never Met but Can We Have a Cup of Coffee or Something,Let's Go,In Love With a Ghost,5cvbog6wen3r3bBbcwL16U,2017-10-23,63,199603,0.349,0.926,0.214,0.121,0.321,0.236,-18.295,0.0538,201.128,6,4,neutral
6,Once Upon a Time,UNDERTALE Soundtrack,Toby Fox,2LgAG9R8A88DADdpVmZf7V,2016-06-03,1,88966,0.565,0.606,0.335,0.949,0.171,0.321,-13.964,0.0445,131.045,0,4,neutral
7,Would You Be So Kind,You - EP,dodie,3ZiuxcBeRanTjfHzVBuuQe,2017-08-11,67,180952,0.662,0.156,0.616,0.000222,0.126,0.614,-9.621,0.206,160.071,4,4,neutral
8,Boys Will Be Bugs,Animal Kingdom: Comet,Cavetown,67EUBsc4qosGOVbaYy6TeX,2018-12-11,3,329049,0.608,0.00387,0.528,1.4e-05,0.106,0.454,-11.722,0.0338,89.221,1,4,neutral
9,Not What I Meant (feat. Lewis Watson),Human,dodie,47IAJLkYhZag79yvXmT6Lt,2019-01-18,52,143290,0.482,0.792,0.273,0.00223,0.109,0.142,-13.396,0.043,118.952,0,4,neutral
10,Everything Stays,"Adventure Time, Vol.3 (Original Soundtrack)",Adventure Time,3qPWfq6IOOlHnqxicx5hnL,2019-05-01,0,95058,0.474,0.941,0.105,1.51e-06,0.122,0.34,-17.649,0.0466,129.935,7,3,neutral
11,Sorry for Not Answering the Phone I'm Too Busy Trying to Fly Away,Let's Go,In Love With a Ghost,3PqWJMsNn4yh9lFqBbYhuE,2017-10-23,55,132413,0.476,0.847,0.161,0.0,0.0331,0.33,-16.368,0.212,96.69,1,5,neutral
12,Party Tattoos,Party Tattoos,dodie,3UCOHhnYLVw2ODokTTtaka,2018-01-01,53,217700,0.437,0.94,0.206,0.00439,0.107,0.433,-14.173,0.0469,155.05,0,4,neutral
13,1-800-DATEME,1-800-DATEME,mxmtoon,0j2vKdAbSoLWAwoBrON8dq,2017-08-06,0,114426,0.497,0.967,0.0762,0.0,0.237,0.68,-20.029,0.0992,78.816,0,3,neutral
14,Michael in the Bathroom,Be More Chill (Original Cast Recording),Various Artists,2NKSdHfJ2j3PnSZUJfXa7J,2015-10-30,50,297573,0.574,0.82,0.372,0.0,0.115,0.425,-7.75,0.0616,118.545,4,4,neutral
15,Sick of Losing Soulmates,Intertwined - EP,dodie,7a9udNo0GU97xnMAkjLdmE,2016-11-18,51,267300,0.519,0.645,0.275,0.135,0.356,0.113,-15.949,0.0383,75.148,2,4,neutral
16,Another One of Those Days,Lemon Boy,Cavetown,106N8qaYdcpymlEolAHNER,2018-01-01,0,246041,0.603,0.449,0.546,0.0,0.0851,0.375,-9.365,0.0267,134.966,0,4,neutral
17,She,Human,dodie,45h4w81P5iJJTSeR0jJUQ8,2019-01-18,71,213611,0.479,0.755,0.154,0.0261,0.11,0.232,-15.051,0.0369,92.457,2,4,neutral
18,Lemon Boy,Lemon Boy,Cavetown,0ZTjo2BjVAicpu6LRusfeg,2018-01-01,3,272902,0.507,0.184,0.478,1.62e-06,0.0891,0.318,-10.054,0.0396,139.927,4,4,neutral
19,Burned Out,Human,dodie,2FhTvTUcbTRIxvNmdpjtbw,2019-01-18,55,211940,0.518,0.981,0.14,0.00122,0.104,0.209,-16.925,0.0506,109.75,5,4,neutral
20,Silly Girl,Rabbit Hearted.,chloe moriondo,3RGVYzHQWQOlHYphHMAaaj,2018-07-31,0,198807,0.48,0.944,0.0436,9.42e-05,0.126,0.133,-22.849,0.0637,79.189,0,1,neutral
21,the idea of you,the idea of you,mxmtoon,0OJsVQPV5YlHFZP5CePDTb,2017-09-05,0,167925,0.51,0.964,0.0785,1.19e-06,0.136,0.356,-17.999,0.106,172.908,2,4,neutral
22,Kalmia Kid,Kalmia Kid,chloe moriondo,6w3qUOipi7ir0f0VIsRYk4,2019-04-19,0,239737,0.602,0.486,0.396,0.0,0.0714,0.457,-9.36,0.039,129.942,2,4,neutral
23,Intertwined,Intertwined - EP,dodie,3uYxmgnOA9lJYAsHyEbbWA,2016-11-18,53,191100,0.433,0.952,0.126,0.223,0.115,0.0782,-20.93,0.0384,88.572,7,3,neutral
24,Waves,Rabbit Hearted.,chloe moriondo,04nQgeTajwIDg0cYBaVctj,2018-07-31,0,133072,0.488,0.913,0.206,0.0,0.108,0.178,-14.157,0.045,81.457,9,4,neutral
25,don't play your card,don't play your card,mxmtoon,4R1uDxKVy11TPksAMWA0r5,2018-03-05,0,221422,0.522,0.933,0.11,0.0,0.096,0.434,-18.707,0.182,172.869,11,4,neutral
26,Fool,Lemon Boy,Cavetown,6iGWH4PRPDwtN9NydaHK8b,2018-01-01,2,233785,0.671,0.0632,0.464,0.073,0.0711,0.131,-9.277,0.149,79.509,1,4,neutral
27,Secret For The Mad,You - EP,dodie,2Uk0aFqYCtecHL5MCq2we0,2017-08-11,56,197278,0.491,0.992,0.0861,0.0124,0.0932,0.391,-14.991,0.0565,86.038,4,4,neutral
28,Human,Human,dodie,2yUIjUh9zQCahXZ9dS7D5X,2018-09-21,47,202721,0.665,0.938,0.287,0.149,0.103,0.386,-14.923,0.04,133.924,8,4,neutral
29,temporary nothing,plum blossom,mxmtoon,0Szyn0SgWSx5z1tw87zbOv,2018-12-07,0,187243,0.556,0.935,0.0887,3.27e-06,0.116,0.198,-18.289,0.0596,78.744,6,4,neutral
30,Talk to Me,Dear.,Cavetown,7mLIL4OdNdwFcGNlTcWa0c,2018-06-29,0,277327,0.626,0.667,0.323,0.0,0.0605,0.234,-9.607,0.0339,130.086,4,4,neutral
31,Branded,Sandcastle Kingdoms,NateWantsToBattle,6FgoXztd4u1QXyKzNaeGd4,2017-03-01,49,195737,0.469,0.000358,0.93,0.0,0.301,0.629,-3.605,0.121,182.816,2,4,neutral
32,Meteor Shower,Cavetown,Cavetown,5dY6DqLGqjHvuFBXTlWsLm,2015-11-09,0,265010,0.513,0.428,0.488,5.01e-05,0.109,0.141,-10.31,0.0328,170.019,5,3,neutral
33,16 / 04 / 16 (Jack's Song),16​ / ​04​ / ​16,Cavetown,0mGgevCESeu4makwMg14Bh,2016-08-15,0,258012,0.592,0.217,0.361,0.0,0.0852,0.182,-15.159,0.0502,134.907,7,4,neutral
34,Untitled V.2,Cavetown,Cavetown,6HX3p2ZcRPQmWXef5ZS2cg,2015-11-09,0,206541,0.547,0.158,0.514,0.000131,0.101,0.303,-9.145,0.0253,89.964,2,4,neutral
35,Arms Unfolding,Human,dodie,6AURpqbH7V45OwiyQBkgpW,2019-01-18,52,95764,0.444,0.993,0.0667,0.00016,0.128,0.318,-15.892,0.0491,82.602,2,3,neutral
36,His Theme,UNDERTALE Soundtrack,Toby Fox,6494VHRQtM27oZ2nbritfF,2016-06-03,2,125333,0.435,0.436,0.633,0.761,0.249,0.299,-10.502,0.0614,179.968,11,4,neutral
37,Island Song,Adventure Time: Come Along with Me (Original Soundtrack),Adventure Time,3UltPYuSY57T9BBAtN8w9L,2018-09-04,0,108721,0.734,0.799,0.475,0.0,0.253,0.838,-12.618,0.0359,120.004,9,4,neutral
38,i feel like chet,i feel like chet,mxmtoon,00qHRkAlOCsjbs8N4hBUH5,2018-11-15,0,183242,0.533,0.913,0.16,0.0,0.113,0.328,-14.947,0.0676,134.853,8,4,neutral
39,Ready Now,MOOMINVALLEY (Official Soundtrack),Various Artists,1xzIv4LPe57Lgz3ELDOdBE,2019-04-19,57,181969,0.69,0.962,0.051,0.205,0.126,0.318,-20.444,0.0421,110.099,7,3,neutral
40,When - Live,Intertwined - EP,dodie,5CqXrqDRXfF5jNVwT0nmPF,2016-11-18,49,195000,0.321,0.929,0.179,0.00405,0.108,0.284,-12.934,0.0312,104.674,8,4,neutral
41,Guiltless,Guiltless,dodie,1UBe9K7MECJJOYd20nwhpl,2019-05-27,51,208033,0.741,0.936,0.307,0.0,0.191,0.538,-12.643,0.0789,144.987,7,4,neutral
42,Absolutely Smitten,Intertwined - EP,dodie,71SidvkT6LCBHRZI858TsQ,2016-11-18,58,181000,0.667,0.456,0.663,0.00316,0.703,0.507,-10.577,0.0346,118.947,9,4,neutral
43,6/10,6/10,dodie,6aDyiU2cVrqh33UEnEo3WA,2017-07-07,52,185487,0.262,0.946,0.163,0.0948,0.103,0.0394,-15.949,0.0432,76.501,7,4,neutral
44,You,You - EP,dodie,1U0nWcWMR1gyHEHBvx5YpW,2017-08-11,51,170975,0.575,0.844,0.66,5.89e-05,0.313,0.714,-12.256,0.211,155.357,10,4,neutral
45,high & dry,the masquerade (high & dry / prom dress),mxmtoon,7o96u1spqcNwctcM43jrUx,2019-06-27,0,219813,0.587,0.185,0.592,0.0,0.119,0.433,-5.369,0.0408,129.987,7,4,neutral
46,Flowers,Let's Go,In Love With a Ghost,5VnaOLeK1lKfULuNwet8ck,2017-10-23,67,252121,0.641,0.979,0.24,0.866,0.234,0.32,-19.107,0.047,99.02,8,4,neutral
47,Sick of Losing Soulmates,Sick of Losing Soulmates,dodie,4hjbxjZpJ8H6qRCzDOGI0M,2016-10-14,64,267360,0.478,0.716,0.241,0.216,0.354,0.11,-17.122,0.0386,75.285,2,4,neutral
48,If I'm Being Honest,If I'm Being Honest,dodie,6MaknzNd585rY4P4pIyZiv,2018-11-02,41,279324,0.435,0.919,0.191,0.033,0.114,0.193,-12.436,0.0396,112.1,10,4,neutral
49,imagine if,imagine if,gnash,12gnUTEnxL6PYN06RX2Je1,2018-06-08,0,197216,0.907,0.568,0.452,0.0,0.244,0.691,-6.673,0.187,92.063,8,4,neutral
50,the broken hearts club,the broken hearts club,gnash,5Cv1xqpyciZZuHHR7xr2l0,2018-03-30,0,184467,0.62,0.801,0.288,0.0,0.344,0.691,-9.431,0.123,100.385,4,4,neutral
51,Loving Is Easy,Loving Is Easy,Rex Orange County,5EYi2rH4LYs6M21ZLOyQTx,2017-10-11,78,155720,0.756,0.217,0.609,0.00474,0.096,0.537,-7.927,0.0544,117.023,3,4,neutral
52,Escapism,"Steven Universe, Vol. 2 (Original Soundtrack)",Steven Universe,0NzPPTeda2Wdu2gij81Sxd,2019-04-12,0,121501,0.408,0.965,0.0844,0.0129,0.0993,0.313,-17.051,0.0505,77.839,0,4,neutral
53,Change Your Mind,"Steven Universe, Vol. 2 (Original Soundtrack)",Steven Universe,03eTN7qaiHC3SbaEDTRE8J,2019-04-12,0,54790,0.451,0.988,0.0154,1.5e-06,0.102,0.13,-20.802,0.0558,88.252,3,1,neutral
54,Love Like You (Reprise),"Steven Universe, Vol. 2 (Original Soundtrack)",Steven Universe,3ZC1q2xLQnPobQZ1fqO2Ng,2019-04-12,0,191334,0.27,0.485,0.316,9.09e-05,0.0921,0.093,-14.735,0.0462,159.99,3,1,neutral
55,Familiar,"Steven Universe, Vol. 2 (Original Soundtrack)",Steven Universe,4aGgcRDBNnAgji3bJ6hzbq,2019-04-12,0,152349,0.65,0.727,0.177,0.0,0.0687,0.546,-12.585,0.0538,92.596,3,4,neutral
56,you were good to me,you were good to me,Jeremy Zucker,6tNgjrWXWHx2zR52Q6qCLG,2019-04-19,0,219173,0.46,0.909,0.0834,1.98e-05,0.112,0.21,-15.095,0.0433,98.329,2,4,neutral
57,better off,glisten,Jeremy Zucker,7bdYxWPCs46dQ0XLwySOyv,2018-05-04,70,193946,0.708,0.747,0.322,9.24e-05,0.137,0.46,-12.46,0.0371,98.892,8,4,neutral
58,comethru,comethru,Jeremy Zucker,6fFTPGGItuEpjwXRUIr4rk,2018-09-07,2,181520,0.798,0.603,0.175,0.0,0.625,0.633,-12.603,0.0594,93.994,0,4,neutral
59,talk is overrated,idle,Jeremy Zucker,7cflqPPi3zWfLFRRBTWeh6,2017-10-27,69,189800,0.776,0.435,0.353,0.0,0.302,0.658,-8.317,0.0687,138.035,4,4,neutral
60,firefly,"summer,",Jeremy Zucker,2ULvsEVdvPbXERrl3mGEE8,2018-09-28,52,220413,0.738,0.569,0.319,2.48e-05,0.145,0.427,-8.479,0.117,83.017,6,4,neutral
61,all the kids are depressed,glisten,Jeremy Zucker,75ls0gurX68lUmMjE7QcsE,2018-05-04,79,169973,0.773,0.836,0.437,2.42e-05,0.544,0.707,-8.281,0.0963,103.861,9,4,neutral
62,Out Of Love,The Pains Of Growing,Alessia Cara,4WzhjxvLP95y7AMDy0Atwb,2018-11-30,79,227693,0.481,0.8,0.267,0.0,0.249,0.137,-9.249,0.0339,117.64,7,3,neutral
63,We Don't Have To Take Our Clothes Off,We Don't Have To Take Our Clothes Off,Vivid Color,5PacEiW4GT9mLA1d0W95tA,2017-04-28,45,197118,0.534,0.689,0.5,0.0,0.123,0.519,-6.432,0.0262,95.043,6,4,neutral
64,Hard to Do,Only Ticket Home,Gavin James,0qJeZTmw4jch2kU34szvuR,2018-10-26,42,245866,0.339,0.789,0.359,0.0,0.109,0.195,-7.032,0.0365,77.592,3,4,neutral
65,Ex - Acoustic,Ex (Acoustic),James TW,5bQrht1GV7Ong9RZ3vxoET,2017-03-31,56,221680,0.753,0.754,0.379,0.0,0.0567,0.567,-5.58,0.0391,130.823,9,4,neutral
66,T-Shirts - Acoustic,T-Shirts (Acoustic),James Smith,27hauwRp0G2YflSJfkmD3o,2018-08-15,53,195480,0.378,0.844,0.254,0.0,0.111,0.373,-9.021,0.0353,78.978,7,4,neutral
67,Please Keep Loving Me,Please Keep Loving Me,James TW,78zUxUPvONPgMIt46q5be6,2017-07-28,70,195920,0.537,0.117,0.469,1.78e-06,0.106,0.294,-8.486,0.0764,175.971,5,4,neutral
68,Idle Town,Sunset Season,Conan Gray,0cXRafInOlc1QH519RXltN,2018-11-16,65,237920,0.606,0.872,0.478,2.02e-05,0.106,0.266,-6.035,0.0276,77.086,7,4,neutral
69,come out and play,come out and play,Billie Eilish,7wC5eZcFS1Q1BsQ35DU6H4,2018-11-20,72,210375,0.64,0.693,0.321,0.0307,0.114,0.177,-14.604,0.0931,145.045,0,4,neutral
70,Annabelle's Homework,Narrated For You,Alec Benjamin,0DYRjWiFJHvLjxRrywtltC,2018-11-16,60,192500,0.676,0.701,0.634,1.63e-06,0.223,0.33,-5.377,0.0385,86.004,8,4,neutral
71,Not Today,Not Today,Alessia Cara,5MSOM0Bz3OJrC0UBy3H62G,2018-11-13,46,156546,0.76,0.0972,0.462,5.29e-06,0.0933,0.169,-6.04,0.123,111.906,6,4,neutral
72,12:45 - Stripped,12:45 (Stripped),Etham,4edtsBlaX23OPYmhA4R0GP,2018-10-26,65,179013,0.459,0.634,0.214,0.0,0.125,0.397,-10.66,0.0403,163.816,5,4,neutral
73,when the party's over,when the party's over,Billie Eilish,14JzyD6FlBD5z0wV5P07YI,2018-10-17,17,199931,0.498,0.979,0.104,7.86e-05,0.0895,0.205,-14.08,0.0621,124.001,1,3,neutral
74,Bruises,Bruises,Lewis Capaldi,7x91w5f5x7UayENcGAP5i2,2017-06-19,56,218492,0.572,0.963,0.319,0.0,0.161,0.359,-6.206,0.0685,110.922,4,4,neutral
75,The Things We Used to Share,The Things We Used to Share,Thomas Sanders,3v64IAj0C9myTAtDsUAqR3,2017-07-27,56,203582,0.617,0.951,0.39,5.82e-06,0.128,0.381,-8.681,0.062,141.953,0,4,neutral
76,Because I Had You,Shawn Mendes,Shawn Mendes,7hlhojpax9zg2FNdBLY5ox,2018-05-25,0,142480,0.879,0.32,0.338,0.0,0.312,0.69,-9.753,0.106,102.1,7,4,neutral
77,Where Were You In The Morning?,Shawn Mendes,Shawn Mendes,51wrmElSLxFzc0vSQPeTxs,2018-05-25,0,200600,0.709,0.557,0.516,0.0,0.0992,0.465,-7.468,0.0615,87.992,7,4,neutral
78,1950,1950,King Princess,0CZ8lquoTX2Dkg7Ak2inwA,2018-02-23,78,225133,0.6,0.648,0.535,4.7e-06,0.162,0.269,-7.043,0.107,71.912,4,4,neutral
79,Stronger Than You,"Steven Universe, Vol. 1 (Original Soundtrack)",Steven Universe,3ry3QOTArZPVqduQETTX4m,2017-06-02,0,172636,0.727,0.126,0.543,0.0,0.122,0.482,-7.18,0.053,97.93,8,4,neutral
80,It's Over Isn't It,"Steven Universe, Vol. 1 (Original Soundtrack)",Steven Universe,4P0yLay4gFvWWKxM6egrn7,2017-06-02,0,138006,0.552,0.868,0.199,0.0,0.107,0.4,-12.192,0.0571,114.94,0,3,neutral
81,Here Comes a Thought,"Steven Universe, Vol. 1 (Original Soundtrack)",Steven Universe,6bX8I0kg3J6IXWVlyVknh1,2017-06-02,0,202340,0.75,0.423,0.513,0.0,0.0756,0.471,-9.576,0.0876,91.004,0,4,neutral
82,Love Like You (End Credits),"Steven Universe, Vol. 1 (Original Soundtrack)",Steven Universe,2HD2g1syRNaqanstTj8zfJ,2017-06-02,0,143629,0.641,0.879,0.242,0.0,0.15,0.294,-10.102,0.0304,118.391,0,3,neutral
83,If I Could Tell Her,Dear Evan Hansen (Original Broadway Cast Recording),Various Artists,6nkcPGa0sr24NFCc5l5UjE,2017-02-03,64,248653,0.584,0.647,0.312,0.0,0.152,0.455,-8.249,0.0405,96.026,4,4,neutral
84,This Is Home,This Is Home,Cavetown,2TI2fw9FWPeah6N4k1b4NU,2015-08-03,3,226073,0.81,0.56,0.266,1.05e-06,0.0962,0.212,-12.478,0.0407,130.041,7,4,neutral
85,Falling for U,Falling for U,Peachy!,0sHFw13WH3LtSB3yP8UMYJ,2017-08-14,71,124000,0.516,0.743,0.358,1.3e-06,0.0813,0.397,-12.018,0.424,79.509,8,4,neutral
86,Crush Culture,Sunset Season,Conan Gray,2sHwSBNDZN2yjCtgwStYt1,2018-11-16,72,204120,0.522,0.146,0.765,0.0,0.0866,0.455,-5.395,0.193,180.065,0,4,neutral
87,Generation Why,Sunset Season,Conan Gray,79e2GU4RLPjAqnijfvsXYr,2018-11-16,68,219680,0.561,0.347,0.684,2.93e-06,0.122,0.528,-8.235,0.0669,81.977,9,4,neutral
88,Do It for Her,"Steven Universe, Vol. 1 (Original Soundtrack)",Steven Universe,78TLyC5Nwi70sEeUIMMB9s,2017-06-02,0,138454,0.564,0.859,0.328,4.22e-06,0.166,0.593,-9.782,0.068,72.221,0,3,neutral
89,Lookalike,Sunset Season,Conan Gray,4K3gM7kzX4POAfrs71HomN,2018-11-16,70,220866,0.434,0.766,0.302,7.63e-06,0.149,0.173,-10.117,0.0378,121.645,10,4,neutral
90,"Everything Stays (From ""Adventure Time"")",Adventure Time: Themes from Marceline,The Marcus Hedges Trend Orchestra,20BJLckTGhiPYaLQox2D2e,2017-11-04,47,111942,0.518,0.978,0.157,4.65e-05,0.273,0.469,-13.513,0.0318,129.912,7,3,neutral
91,On the Borderline,On the Borderline,Thomas Sanders,28dYsA8DrhfSiTSHtL5Spc,2018-05-10,42,289332,0.323,0.838,0.451,0.0,0.12,0.451,-7.358,0.028,144.538,7,4,neutral
92,Life Lesson,Intertwined - EP,dodie,51z8j9rLSj0p5mikST2BCA,2016-11-18,7,22000,0.557,0.967,0.179,0.0,0.115,0.718,-14.374,0.207,171.522,7,3,neutral
93,Green,Lemon Boy,Cavetown,6FCtVFA2m7j60qnlN1Sxko,2018-01-01,0,270429,0.425,0.257,0.34,0.0,0.117,0.117,-11.208,0.035,134.977,2,3,neutral
94,Rose's Farewell (Love Like You) - Steven Universe,Rose's Farewell (Love Like You) - Steven Universe,Adriana Figueroa,5CYjBvFXSLPzoHzysAdcFo,2015-08-21,33,156742,0.438,0.883,0.332,7.65e-05,0.321,0.11,-10.841,0.0424,114.144,7,3,neutral
95,cliché,plum blossom,mxmtoon,2h3Q3wDxLNfBh0yX8d3jib,2018-12-07,67,184272,0.541,0.908,0.208,0.0,0.163,0.65,-17.989,0.368,94.927,1,4,neutral
96,In The Middle,You - EP,dodie,6BBfG9FiwJhRVMCd9IYl6c,2017-08-11,55,181632,0.823,0.364,0.52,0.00438,0.0772,0.685,-12.873,0.0831,111.025,5,4,neutral
97,"Won't Say I'm in Love (Mashup) [feat. Terrence Williams, Jamahl Rawls & Foti]","Won't Say I'm in Love (Mashup) [feat. Terrence Williams, Jamahl Rawls & Foti]",Thomas Sanders,66KiIwcSDiucaZTmfto7tH,2018-03-22,48,193722,0.41,0.858,0.277,0.0,0.225,0.428,-10.026,0.0392,112.051,7,4,neutral
98,21st Century Machine,21st Century Machine,Catie Turner,6zmB3yL7Up4iOqz5P8nBrg,2018-11-22,0,231551,0.549,0.893,0.238,0.0,0.109,0.343,-9.812,0.0405,123.636,1,4,neutral
99,Theodosia Reprise,Theodosia Reprise,Sara Bareilles,6aWWF20lTBd9KgNc9IRIM2,2018-10-31,43,154727,0.508,0.863,0.214,0.0,0.142,0.089,-7.704,0.0374,102.901,0,3,neutral
0,Broken Sky,Broken Sky,Agustín Amigó,1PeMTLRYStFk5meDRs79Nq,2020-12-04,53,157164,0.692,0.994,0.0947,0.897,0.107,0.314,-18.27,0.119,112.947,1,4,calm
1,Alma Azul,Alma Azul,Nylonwings,2eit8XClHzAr2YEcCdq7jq,2020-07-18,48,134430,0.722,0.967,0.203,0.908,0.127,0.197,-12.812,0.0568,89.424,2,4,calm
2,Distances,Distances,Between the Dots,63iYBQAZDyqQYwf91qG6ZX,2020-12-04,49,185000,0.562,0.939,0.182,0.877,0.112,0.3,-14.46,0.0586,97.842,11,4,calm
3,Sonata Pathétique,Dramatique Musique Classique,Marcel Depuis,2NCG0u2NT7KceLxCjseW3A,2017-01-02,48,170344,0.71,0.967,0.05,0.806,0.116,0.142,-23.245,0.0566,115.298,11,4,calm
4,In the Makeup of the Sun - Instrumental Version,In the Makeup of the Sun (Instrumental Version),Christian Wannerwall,2yyUytDg93W9yK40uENJg6,2020-12-06,46,99076,0.516,0.983,0.0553,0.861,0.0971,0.564,-27.568,0.0437,144.728,2,4,calm
5,Memoria Andaluza,Memoria Andaluza,Agustín Amigó,4cgkESlEVG3qDvKpBeav3J,2019-10-04,49,138519,0.504,0.962,0.292,0.925,0.113,0.192,-15.314,0.0452,144.139,5,3,calm
6,La Ultima Vez,Alma Azul,Nylonwings,4ohd4Soqh0KVuT3c5wVNs5,2020-07-18,42,130374,0.76,0.953,0.252,0.919,0.112,0.239,-8.869,0.0458,107.741,0,4,calm
7,HAPPY,HAPPY,Christian Wannerwall,6t8vQr6XnjFXw3d8O1dL2l,2021-01-22,37,130880,0.644,0.959,0.147,0.836,0.106,0.482,-18.745,0.0487,109.318,5,4,calm
